Local Authority June 2022 Crime rates per 1000,Total,Violent,Theft,Unemployed Claimants,Employed Claimants,Total Claimants,Ratio,Ratio percentage,Region
Tonbridge and Malling,66.18,28.28,16.30,3974,3086,7056,0.437358277,43.74,South East
Tunbridge Wells,67.51,28.92,18.09,3773,2685,6459,0.415699025,41.57,South East
Vale of White Horse,50.56,19.90,11.28,3930,3408,7333,0.464748398,46.47,South East
Waverley,44.33,15.63,14.88,2534,2174,4700,0.462553191,46.26,South East
Wealden,38.05,15.42,9.68,4685,3415,8097,0.421761146,42.18,South East
West Berkshire,59.04,21.13,16.29,4409,4090,8504,0.480950141,48.10,South East
West Oxfordshire,50.83,19.97,13.92,3024,2751,5782,0.475786925,47.58,South East
Winchester,67.14,24.35,20.76,3245,2707,5956,0.454499664,45.45,South East
Windsor and Maidenhead,67.62,24.12,20.64,4127,3218,7344,0.438180828,43.82,South East
Woking,65.55,25.82,18.20,3036,2495,5527,0.4514203,45.14,South East
Wokingham,43.76,16.28,13.62,3555,3218,6775,0.47498155,47.50,South East
Worthing,80.75,28.89,24.09,4268,3721,7990,0.465707134,46.57,South East
Bath and North East Somerset,64.88,24.02,19.93,6517,5191,11711,0.443258475,44.33,South West
"Bristol, City of ",116.79,41.52,35.02,22978,15252,38238,0.398870234,39.89,South West
Cheltenham,90.35,36.11,25.21,4299,3425,7726,0.44330831,44.33,South West
Cornwall,51.88,23.52,10.17,24177,19793,43971,0.450137591,45.01,South West
Cotswold,48.44,20.55,13.56,2328,1973,4298,0.459050721,45.91,South West
Exeter,75.77,32.09,17.50,4508,3814,8327,0.458028101,45.80,South West
Forest of Dean,54.15,26.66,10.03,3275,2346,5621,0.417363458,41.74,South West
Gloucester,115.47,53.24,26.11,6369,4949,11317,0.437306707,43.73,South West
Isles of Scilly,26.06,10.78,4.94,28,56,82,0.682926829,68.29,South West
North Somerset,70.60,29.68,16.29,7873,6478,14348,0.451491497,45.15,South West
Plymouth,87.51,41.08,14.76,15417,10813,26231,0.41222218,41.22,South West
South Gloucestershire,60.82,22.96,18.76,7838,7482,15317,0.488476856,48.85,South West
Stroud,53.36,24.60,11.14,3445,2862,6306,0.453853473,45.39,South West
Swindon,71.51,30.49,17.85,11289,8882,20172,0.440313306,44.03,South West
Tewkesbury,48.98,21.96,12.38,2879,2730,5605,0.48706512,48.71,South West
Torbay,83.87,37.87,18.49,7326,5563,12893,0.431474443,43.15,South West
Wiltshire,50.43,21.19,12.88,16422,14534,30953,0.469550609,46.96,South West
Birmingham,141.05,62.16,37.67,103772,52915,156688,0.337709333,33.77,West Midlands
Cannock Chase,63.29,28.67,18.66,4531,3562,8091,0.440242244,44.02,West Midlands
Coventry,108.98,46.53,30.77,21607,14495,36106,0.401456822,40.15,West Midlands
Dudley,96.76,43.44,25.21,18790,11733,30522,0.384411244,38.44,West Midlands
East Staffordshire,60.80,30.15,14.54,4868,4447,9310,0.477658432,47.77,West Midlands
"Herefordshire, County of",63.58,29.66,14.20,6246,5252,11500,0.456695652,45.67,West Midlands
Lichfield,48.13,20.37,16.25,3407,2697,6103,0.441913813,44.19,West Midlands
Newcastle-under-Lyme,63.83,30.48,15.61,4636,3565,8207,0.434385281,43.44,West Midlands
North Warwickshire,67.58,25.12,21.05,2564,2122,4684,0.453031597,45.30,West Midlands
Nuneaton and Bedworth,87.34,37.15,21.94,7322,5180,12503,0.414300568,41.43,West Midlands
Rugby,68.89,27.83,19.39,4542,3959,8501,0.465709916,46.57,West Midlands
Sandwell,120.60,54.44,31.18,25390,16291,41682,0.390840171,39.08,West Midlands
Shropshire,55.39,24.28,15.03,10484,8592,19081,0.450290865,45.03,West Midlands
Solihull,91.84,37.13,30.46,9214,6421,15633,0.410733704,41.07,West Midlands
South Staffordshire,46.33,18.55,16.35,3523,2636,6159,0.427991557,42.80,West Midlands
Stafford,54.20,24.61,15.04,4311,3477,7785,0.446628131,44.66,West Midlands
Staffordshire Moorlands,49.29,26.41,9.14,2492,1930,4419,0.436750396,43.68,West Midlands
Stoke-on-Trent,107.92,48.14,28.26,17645,11491,29141,0.394324148,39.43,West Midlands
Tamworth,65.57,29.42,19.32,3835,3160,6994,0.451815842,45.18,West Midlands
Telford and Wrekin,95.50,43.62,24.66,9962,7687,17650,0.435524079,43.55,West Midlands
Walsall,117.79,49.39,34.80,20399,12119,32519,0.372674436,37.27,West Midlands
Wolverhampton,135.54,62.09,35.87,22270,13786,36055,0.382360283,38.24,West Midlands
Barnsley,106.36,42.05,27.15,16187,9885,26079,0.379040607,37.90,Yorkshire and the Humber
Bradford,139.99,62.99,28.60,41716,21518,63236,0.340280853,34.03,Yorkshire and the Humber
Calderdale,120.57,53.95,25.24,13031,7804,20832,0.374615975,37.46,Yorkshire and the Humber
Doncaster,130.70,48.31,40.28,20608,13077,33688,0.388179767,38.82,Yorkshire and the Humber
East Riding of Yorkshire,54.92,22.26,14.28,10710,8956,19666,0.455405268,45.54,Yorkshire and the Humber
"Kingston upon Hull, City of",146.17,57.30,38.61,20652,14311,34966,0.409283304,40.93,Yorkshire and the Humber
Kirklees,105.25,47.21,21.40,25318,15479,40796,0.379424453,37.94,Yorkshire and the Humber
Leeds,138.74,54.98,38.17,41548,28601,70149,0.407717858,40.77,Yorkshire and the Humber
North East Lincolnshire,115.99,45.25,29.56,10829,7484,18314,0.408649121,40.86,Yorkshire and the Humber
North Lincolnshire,82.39,31.31,22.33,8576,6567,15146,0.433579823,43.36,Yorkshire and the Humber
Rotherham,98.73,38.39,26.08,16657,9829,26491,0.371031671,37.10,Yorkshire and the Humber
Sheffield,100.61,35.24,32.27,29739,17505,47245,0.370515398,37.05,Yorkshire and the Humber
Wakefield,130.64,54.99,33.47,18177,13425,31602,0.424814885,42.48,Yorkshire and the Humber
York,68.71,26.74,21.06,5828,5276,11106,0.475058527,47.51,Yorkshire and the Humber
,,,,,,,,,
