State,% Poverty Rate,Crime Rate 2020,Violent Crime Rate,Property Crime Rate,Bachelors Degree or Higher,Police Spending,Correction,Housing and Community Development,Cash Assistance Payments,Education,Population,Police Spending per 100000,Correction per 100000,Housing and Community Development per 100000,Cash Assistance Payments per 100000,Education per 100000
South Carolina,14.1,5972.837,530.678,5442.158,31.5,1417674,801370,531356,139928,16801488,5118425,27697.47,15656.57,10381.24,2733.81,328255.04
South Dakota,10.2,4414.837,501.391,3913.446,31.7,228941,193969,94328,84487,2605868,886667,25820.40,21876.19,10638.49,9528.61,293894.78
Tennessee,12.2,5658.304,672.704,4985.6,30.5,2289872,1229643,855598,804803,15790467,6910840,33134.50,17792.96,12380.52,11645.52,228488.39
Texas,12.9,4936.535,446.46,4490.075,33.1,9353720,6518859,2776107,1917508,99599516,29145505,32093.18,22366.60,9524.99,6579.09,341732.00
Utah,7.5,5189.516,260.656,4928.86,36.8,926953,626034,438002,509708,11758422,3271616,28333.18,19135.31,13387.94,15579.70,359407.16
Vermont,8.2,2607.376,173.419,2433.957,44.4,219299,147495,154987,21729,3618115,643077,34101.52,22935.82,24100.85,3378.91,562625.47
Virginia,8.8,3121.483,208.659,2912.824,41.8,2700739,2898476,1063883,397182,29354365,8631393,31289.72,33580.63,12325.74,4601.60,340088.38
Washington,7.6,5758.57,293.698,5464.871,39,2541568,2085130,2107770,160491,30134396,7705281,32984.75,27061.05,27354.88,2082.87,391087.57
West Virginia,15,3154.662,355.897,2798.765,24.1,455379,425740,169369,48927,5563278,1793716,25387.46,23735.08,9442.35,2727.69,310153.78
Wisconsin,8.6,3294.709,323.369,2971.34,32.5,1922404,1591890,359658,260714,20156885,5893718,32617.85,27009.95,6102.40,4423.59,342006.27
Wyoming,9.4,3455.441,234.232,3221.209,29.2,231453,221212,24889,28,2949338,576851,40123.53,38348.20,4314.63,4.85,511282.46
