quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName
199902,630426,6.917758,6.99,6.99,6.99,133,01/02/1999,01/02/1999,103893,1999,2,1,Matched (3),Non Fiction Paperback
199902,630425,16.65083,18.99,16.99,14.99,133,01/02/1999,01/02/1999,103893,1999,2,1,Matched (3),Non Fiction Harback
199903,630425,16.50357,18.99,16.99,14.99,134,01/03/1999,01/03/1999,106210,1999,3,1,Matched (3),Non Fiction Harback
199903,630426,7.091176,6.99,6.99,6.99,134,01/03/1999,01/03/1999,106210,1999,3,1,Matched (3),Non Fiction Paperback
199904,630425,15.67492,16.99,15.99,12.99,135,01/04/1999,01/04/1999,107934,1999,4,2,Matched (3),Non Fiction Harback
199904,630426,7.1904,7.99,6.99,6.99,135,01/04/1999,01/04/1999,107934,1999,4,2,Matched (3),Non Fiction Paperback
199905,630426,7.261811,7.99,6.99,6.99,136,01/05/1999,01/05/1999,109518,1999,5,2,Matched (3),Non Fiction Paperback
199905,630425,15.25576,16.99,14.99,12.99,136,01/05/1999,01/05/1999,109518,1999,5,2,Matched (3),Non Fiction Harback
199906,630426,7.35127,7.99,6.99,6.99,137,01/06/1999,01/06/1999,110967,1999,6,2,Matched (3),Non Fiction Paperback
199906,630425,15.37736,16.99,14.99,12.99,137,01/06/1999,01/06/1999,110967,1999,6,2,Matched (3),Non Fiction Harback
199907,630426,7.571463,8.99,6.99,6.99,138,01/07/1999,01/07/1999,109979,1999,7,3,Matched (3),Non Fiction Paperback
199907,630425,15.37135,16.99,14.99,12.99,138,01/07/1999,01/07/1999,109979,1999,7,3,Matched (3),Non Fiction Harback
199908,630425,14.8509,14.99,14.99,12.99,139,01/08/1999,01/08/1999,107986,1999,8,3,Matched (3),Non Fiction Harback
199908,630426,7.785126,9.99,6.99,6.99,139,01/08/1999,01/08/1999,107986,1999,8,3,Matched (3),Non Fiction Paperback
199909,630425,14.49422,14.99,14.99,12.99,140,01/09/1999,01/09/1999,108310,1999,9,3,Matched (3),Non Fiction Harback
199909,630426,7.843813,9.99,6.99,6.99,140,01/09/1999,01/09/1999,108310,1999,9,3,Matched (3),Non Fiction Paperback
199910,630426,7.73175,9.49,6.99,6.99,141,01/10/1999,01/10/1999,108626,1999,10,4,Matched (3),Non Fiction Paperback
199910,630425,14.90414,16.99,13.99,12.99,141,01/10/1999,01/10/1999,108626,1999,10,4,Matched (3),Non Fiction Harback
199911,630425,14.6378,15.99,13.99,12.99,142,01/11/1999,01/11/1999,108959,1999,11,4,Matched (3),Non Fiction Harback
199911,630426,7.54,7.99,6.99,6.99,142,01/11/1999,01/11/1999,108959,1999,11,4,Matched (3),Non Fiction Paperback
199912,630425,14.29769,14.99,13.99,12.99,143,01/12/1999,01/12/1999,110478,1999,12,4,Matched (3),Non Fiction Harback
199912,630426,7.529062,7.99,6.99,6.99,143,01/12/1999,01/12/1999,110478,1999,12,4,Matched (3),Non Fiction Paperback
200001,630425,15.21448,17.99,13.99,12.99,144,01/01/2000,01/01/2000,105846,2000,1,1,Matched (3),Non Fiction Harback
200001,630426,7.516515,7.99,6.99,6.99,144,01/01/2000,01/01/2000,105846,2000,1,1,Matched (3),Non Fiction Paperback
200002,630425,15.22585,17.99,14.99,12.99,145,01/02/2000,01/02/2000,99732,2000,2,1,Matched (3),Non Fiction Harback
200002,630426,7.722558,7.99,6.99,6.99,145,01/02/2000,01/02/2000,99732,2000,2,1,Matched (3),Non Fiction Paperback
200003,630426,7.606356,7.99,6.99,6.99,146,01/03/2000,01/03/2000,103687,2000,3,1,Matched (3),Non Fiction Paperback
200003,630425,15.30364,17.99,14.99,12.99,146,01/03/2000,01/03/2000,103687,2000,3,1,Matched (3),Non Fiction Harback
200004,630426,7.497862,7.99,6.99,6.99,147,01/04/2000,01/04/2000,106130,2000,4,2,Matched (3),Non Fiction Paperback
200004,630425,15.39913,17.99,16.99,12.99,147,01/04/2000,01/04/2000,106130,2000,4,2,Matched (3),Non Fiction Harback
200005,630426,7.655349,7.99,6.99,6.99,148,01/05/2000,01/05/2000,107453,2000,5,2,Matched (3),Non Fiction Paperback
200005,630425,15.42542,17.99,16.99,12.99,148,01/05/2000,01/05/2000,107453,2000,5,2,Matched (3),Non Fiction Harback
200006,630425,15.26817,17.99,16.99,12.99,149,01/06/2000,01/06/2000,106540,2000,6,2,Matched (3),Non Fiction Harback
200006,630426,7.505238,7.99,6.99,6.99,149,01/06/2000,01/06/2000,106540,2000,6,2,Matched (3),Non Fiction Paperback
200007,630426,7.91,7.99,7.99,6.99,150,01/07/2000,01/07/2000,107334,2000,7,3,Matched (3),Non Fiction Paperback
200007,630425,14.45922,16.99,14.99,12.99,150,01/07/2000,01/07/2000,107334,2000,7,3,Matched (3),Non Fiction Harback
200008,630425,14.3162,16.99,12.99,12.99,151,01/08/2000,01/08/2000,104159,2000,8,3,Matched (3),Non Fiction Harback
200008,630426,7.270991,7.99,6.99,6.99,151,01/08/2000,01/08/2000,104159,2000,8,3,Matched (3),Non Fiction Paperback
200009,630426,7.03065,7.99,6.99,5.99,152,01/09/2000,01/09/2000,104363,2000,9,3,Matched (3),Non Fiction Paperback
200009,630425,14.29921,16.99,12.99,12.99,152,01/09/2000,01/09/2000,104363,2000,9,3,Matched (3),Non Fiction Harback
200010,630425,14.26622,16.99,12.99,12.99,153,01/10/2000,01/10/2000,105335,2000,10,4,Matched (3),Non Fiction Harback
200010,630426,6.618788,7.99,6.99,5.99,153,01/10/2000,01/10/2000,105335,2000,10,4,Matched (3),Non Fiction Paperback
200011,630426,6.325736,7.99,6.3,4.99,154,01/11/2000,01/11/2000,105762,2000,11,4,Matched (3),Non Fiction Paperback
200011,630425,14.52106,16.99,12.99,12.99,154,01/11/2000,01/11/2000,105762,2000,11,4,Matched (3),Non Fiction Harback
200012,630425,14.97614,16.99,12.99,12.99,155,01/12/2000,01/12/2000,106142,2000,12,4,Matched (3),Non Fiction Harback
200012,630426,6.271482,6.99,6.99,4.99,155,01/12/2000,01/12/2000,106142,2000,12,4,Matched (3),Non Fiction Paperback
200101,630426,6.576466,6.99,6.99,4.99,156,01/01/2001,01/01/2001,102504,2001,1,1,Matched (3),Non Fiction Paperback
200101,630425,16.05873,16.99,16.99,12.99,156,01/01/2001,01/01/2001,102504,2001,1,1,Matched (3),Non Fiction Harback
200102,630426,6.573416,6.99,6.99,4.99,157,01/02/2001,01/02/2001,104038,2001,2,1,Matched (3),Non Fiction Paperback
200102,630425,16.62762,16.99,16,12.99,157,01/02/2001,01/02/2001,104038,2001,2,1,Matched (3),Non Fiction Harback
200103,630426,6.316692,6.99,5.99,4.99,158,01/03/2001,01/03/2001,104696,2001,3,1,Matched (3),Non Fiction Paperback
200103,630425,14.89008,16.99,14.99,12.99,158,01/03/2001,01/03/2001,104696,2001,3,1,Matched (3),Non Fiction Harback
200104,630426,6.505391,6.99,6.99,4.99,159,01/04/2001,01/04/2001,105771,2001,4,2,Matched (3),Non Fiction Paperback
200104,630425,14.46595,16.99,14.99,11.99,159,01/04/2001,01/04/2001,105771,2001,4,2,Matched (3),Non Fiction Harback
200105,630426,6.2836,6.99,5.99,4.99,160,01/05/2001,01/05/2001,108055,2001,5,2,Matched (3),Non Fiction Paperback
200105,630425,13.99935,16.99,12.99,9.99,160,01/05/2001,01/05/2001,108055,2001,5,2,Matched (3),Non Fiction Harback
200106,630425,13.69733,14.99,12.99,12.99,161,01/06/2001,01/06/2001,109596,2001,6,2,Matched (3),Non Fiction Harback
200106,630426,6.083095,6.99,5.99,4.99,161,01/06/2001,01/06/2001,109596,2001,6,2,Matched (3),Non Fiction Paperback
200107,630425,13.74066,14.99,12.99,12.99,162,01/07/2001,01/07/2001,108549,2001,7,3,Matched (3),Non Fiction Harback
200107,630426,6.144715,6.99,5.99,4.99,162,01/07/2001,01/07/2001,108549,2001,7,3,Matched (3),Non Fiction Paperback
200108,630425,13.64097,12.99,12.99,12.99,163,01/08/2001,01/08/2001,106934,2001,8,3,Matched (3),Non Fiction Harback
200108,630426,6.071463,6.99,5.99,4.99,163,01/08/2001,01/08/2001,106934,2001,8,3,Matched (3),Non Fiction Paperback
200109,630425,13.49232,12.99,12.99,12.99,164,01/09/2001,01/09/2001,105656,2001,9,3,Matched (3),Non Fiction Harback
200109,630426,6.032713,6.99,5.99,4.99,164,01/09/2001,01/09/2001,105656,2001,9,3,Matched (3),Non Fiction Paperback
200110,630425,13.64973,13.99,12.99,12.99,165,01/10/2001,01/10/2001,106902,2001,10,4,Matched (3),Non Fiction Harback
200110,630426,6.153934,6.99,5.99,4.99,165,01/10/2001,01/10/2001,106902,2001,10,4,Matched (3),Non Fiction Paperback
200111,630425,14.17476,14.99,12.99,12.99,166,01/11/2001,01/11/2001,107581,2001,11,4,Matched (3),Non Fiction Harback
200111,630426,6.265,6.99,5.99,4.99,166,01/11/2001,01/11/2001,107581,2001,11,4,Matched (3),Non Fiction Paperback
200112,630425,13.772,13.99,12.99,12.99,167,01/12/2001,01/12/2001,106644,2001,12,4,Matched (3),Non Fiction Harback
200112,630426,6.24,6.99,5.99,4.99,167,01/12/2001,01/12/2001,106644,2001,12,4,Matched (3),Non Fiction Paperback
200201,630426,6.307073,6.99,5.99,4.99,168,01/01/2002,01/01/2002,104308,2002,1,1,Matched (3),Non Fiction Paperback
200201,630425,14.33809,15.99,12.99,12.99,168,01/01/2002,01/01/2002,104308,2002,1,1,Matched (3),Non Fiction Harback
200202,630426,6.265229,6.99,5.99,4.99,169,01/02/2002,01/02/2002,102172,2002,2,1,Matched (3),Non Fiction Paperback
200202,630425,15.02867,17.99,12.99,12.99,169,01/02/2002,01/02/2002,102172,2002,2,1,Matched (3),Non Fiction Harback
200203,630426,6.085652,6.99,5.99,4.99,170,01/03/2002,01/03/2002,104671,2002,3,1,Matched (3),Non Fiction Paperback
200203,630425,15.25394,17.99,13.99,12.99,170,01/03/2002,01/03/2002,104671,2002,3,1,Matched (3),Non Fiction Harback
200204,630426,6.019661,6.99,5.99,4.99,171,01/04/2002,01/04/2002,104217,2002,4,2,Matched (3),Non Fiction Paperback
200204,630425,14.83906,17.99,12.99,12.99,171,01/04/2002,01/04/2002,104217,2002,4,2,Matched (3),Non Fiction Harback
200205,630426,5.939579,6.99,5.99,4.99,172,01/05/2002,01/05/2002,106651,2002,5,2,Matched (3),Non Fiction Paperback
200205,630425,15.73257,17.99,14.99,14.99,172,01/05/2002,01/05/2002,106651,2002,5,2,Matched (3),Non Fiction Harback
200206,630425,16.42663,17.99,16.99,14.99,173,01/06/2002,01/06/2002,106955,2002,6,2,Matched (3),Non Fiction Harback
200206,630426,5.894,6.99,5.99,4.99,173,01/06/2002,01/06/2002,106955,2002,6,2,Matched (3),Non Fiction Paperback
200207,630425,16.4725,17.99,16.99,14.99,174,01/07/2002,01/07/2002,106605,2002,7,3,Matched (3),Non Fiction Harback
200207,630426,5.894762,6.99,5.99,4.99,174,01/07/2002,01/07/2002,106605,2002,7,3,Matched (3),Non Fiction Paperback
200208,630425,16.31053,17.99,14.99,13.99,175,01/08/2002,01/08/2002,104997,2002,8,3,Matched (3),Non Fiction Harback
200208,630426,5.437235,5.99,4.99,4.99,175,01/08/2002,01/08/2002,104997,2002,8,3,Matched (3),Non Fiction Paperback
200209,630425,16.47913,17.99,16.99,13.99,176,01/09/2002,01/09/2002,103963,2002,9,3,Matched (3),Non Fiction Harback
200209,630426,5.925564,6.99,5.99,4.99,176,01/09/2002,01/09/2002,103963,2002,9,3,Matched (3),Non Fiction Paperback
200210,630425,15.78305,18.99,14.99,12.99,177,01/10/2002,01/10/2002,105493,2002,10,4,Matched (3),Non Fiction Harback
200210,630426,5.933629,6.99,5.99,4.99,177,01/10/2002,01/10/2002,105493,2002,10,4,Matched (3),Non Fiction Paperback
200211,630426,6.125,6.99,6.99,4.99,178,01/11/2002,01/11/2002,106130,2002,11,4,Matched (3),Non Fiction Paperback
200211,630425,14.87811,15.99,13.99,12.99,178,01/11/2002,01/11/2002,106130,2002,11,4,Matched (3),Non Fiction Harback
200212,630425,14.38991,15,13.99,12.99,179,01/12/2002,01/12/2002,106032,2002,12,4,Matched (3),Non Fiction Harback
200212,630426,6.152601,6.99,6.99,4.99,179,01/12/2002,01/12/2002,106032,2002,12,4,Matched (3),Non Fiction Paperback
200301,630426,6.179344,6.99,5.99,4.99,180,01/01/2003,01/01/2003,103660,2003,1,1,Matched (3),Non Fiction Paperback
200301,630425,15.60955,18,15,12.99,180,01/01/2003,01/01/2003,103660,2003,1,1,Matched (3),Non Fiction Harback
200302,630425,15.54544,17.99,14.99,12.99,181,01/02/2003,01/02/2003,106569,2003,2,1,Matched (3),Non Fiction Harback
200302,630426,6.05938,6.99,5.99,4.99,181,01/02/2003,01/02/2003,106569,2003,2,1,Matched (3),Non Fiction Paperback
200303,630426,6.101702,6.99,5.99,4.99,182,01/03/2003,01/03/2003,107246,2003,3,1,Matched (3),Non Fiction Paperback
200303,630425,16.16861,19.99,15,14.99,182,01/03/2003,01/03/2003,107246,2003,3,1,Matched (3),Non Fiction Harback
200304,630426,6.445135,6.99,6.99,5.99,183,01/04/2003,01/04/2003,96279,2003,4,2,Matched (3),Non Fiction Paperback
200304,630425,15.59887,18.99,15,14.99,183,01/04/2003,01/04/2003,96279,2003,4,2,Matched (3),Non Fiction Harback
200305,630425,15.79568,20,15,12.99,184,01/05/2003,01/05/2003,99396,2003,5,2,Matched (3),Non Fiction Harback
200305,630426,6.45018,7.99,6.99,4.99,184,01/05/2003,01/05/2003,99396,2003,5,2,Matched (3),Non Fiction Paperback
200306,630425,16.00429,20,15,12.99,185,01/06/2003,01/06/2003,100902,2003,6,2,Matched (3),Non Fiction Harback
200306,630426,7.12055,7.99,7.99,6.99,185,01/06/2003,01/06/2003,100902,2003,6,2,Matched (3),Non Fiction Paperback
200307,630426,7.112381,7.99,7.99,5.99,186,01/07/2003,01/07/2003,101269,2003,7,3,Matched (3),Non Fiction Paperback
200307,630425,14.3825,16.99,14.99,11.49,186,01/07/2003,01/07/2003,101269,2003,7,3,Matched (3),Non Fiction Harback
200308,630426,6.995625,7.99,7.99,5.99,187,01/08/2003,01/08/2003,100534,2003,8,3,Matched (3),Non Fiction Paperback
200308,630425,14.69519,16.99,15,12.99,187,01/08/2003,01/08/2003,100534,2003,8,3,Matched (3),Non Fiction Harback
200309,630426,6.90728,7.99,6.99,5.99,188,01/09/2003,01/09/2003,101448,2003,9,3,Matched (3),Non Fiction Paperback
200309,630425,15.05058,16.99,15.99,12.98,188,01/09/2003,01/09/2003,101448,2003,9,3,Matched (3),Non Fiction Harback
200310,630426,6.887357,7.99,7.99,5.99,189,01/10/2003,01/10/2003,104513,2003,10,4,Matched (3),Non Fiction Paperback
200310,630425,14.3347,16,14.99,12.98,189,01/10/2003,01/10/2003,104513,2003,10,4,Matched (3),Non Fiction Harback
200311,630425,14.16955,16,14.99,12.98,190,01/11/2003,01/11/2003,109068,2003,11,4,Matched (3),Non Fiction Harback
200311,630426,6.801678,7.99,6.99,5.99,190,01/11/2003,01/11/2003,109068,2003,11,4,Matched (3),Non Fiction Paperback
200312,630426,7.060863,7.99,7.99,5.99,191,01/12/2003,01/12/2003,110012,2003,12,4,Matched (3),Non Fiction Paperback
200312,630425,13.66151,16,12.99,9.99,191,01/12/2003,01/12/2003,110012,2003,12,4,Matched (3),Non Fiction Harback
200401,630426,7.103059,7.99,7.99,5.99,192,01/01/2004,01/01/2004,107904,2004,1,1,Matched (3),Non Fiction Paperback
200401,630425,13.57748,17.99,12.99,9.99,192,01/01/2004,01/01/2004,107904,2004,1,1,Matched (3),Non Fiction Harback
