State,Population 2022,Prison Population 2022,% of Life Sentences 2022,Imprisonment Rate Per 100000 2022,Unemployment Rate Oct 2022,Crime Rate 2020,Violent Crime Rate,Property Crime Rate,Average Income (Real Median HH income),Police Spending 2020,Police Spending Per Capita,snapRecips2019,snapPerCapita2019,Number of Police Officers 2022,Police Officers Per Capita,Bachelors Degree or Higher,Education Spending,Welfare
Virginia,8757467,31838,8%,370,2.7,3121.483,208.659,2912.824,80268,2700739,,695004,0.0794,52302,597.2275,41.8,,
Washington,7901429,15689,15%,203,3.8,5758.57,293.698,5464.871,87648,2541568,,802305,0.1015,25282,319.9674,39,,
West Virginia,1781860,6044,9%,340,4,3154.662,355.897,2798.765,46836,455379,,307404,0.1725,9201,516.3705,24.1,,
Wisconsin,5935064,18674,6%,320,3.3,3294.709,323.369,2971.34,69943,1922404,,606036,0.1021,23986,404.1405,32.5,,
Wyoming,579495,2087,8%,358,3.5,3455.441,234.232,3221.209,71052,231453,,25564,0.0441,2904,501.126,29.2,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
