,Violent Crime Rate,Property Crime Rate,Police Officers Per Capita,Average Income (Real Median HH income),Bachelors Degree or Higher,Unemployment Rate Oct 2022,State,Police Spending Per Capita,High Crime or low crime state,Unnamed: 9,Unnamed: 10,Reduced Dimension 1,Reduced Dimension 2
0,454,4274,418,56929,27,2.7,Alabama,289,High,,,-14232.159662372305,38.170154210191065
1,838,4521,604,81133,33,4.5,Alaska,553,High,,,9957.700849904653,888.424002758404
2,485,4455,507,70821,32,3.9,Arizona,408,High,,,-348.2744411576395,549.8884463849743
3,672,5227,456,50784,25,3.6,Arkansas,245,High,,,-20398.92538776994,859.558725552844
4,442,4278,378,81575,36,4.0,California,564,High,,,10407.520916668804,625.9475160022004
5,423,5668,417,84954,44,3.6,Colorado,401,High,,,13752.669167854445,2088.463741045595
6,182,3130,407,80958,42,4.3,Connecticut,359,Low,,,9818.20489671547,-554.6526965419512
7,432,3923,517,68687,36,4.3,Delaware,395,High,,,-2469.003319911904,-35.11548168405069
8,384,3539,440,59734,33,2.7,Florida,469,Low,,,-11409.897936392896,-632.7889146802015
9,400,4015,487,61497,35,2.9,Georgia,284,High,,,-9659.21618199993,-116.54657391917279
10,254,4823,494,82199,35,3.4,Hawaii,373,High,,,11018.94840273972,1167.083213820451
11,243,2224,379,76918,31,2.9,Idaho,294,Low,,,5800.004164140582,-1548.2209156090112
12,426,3119,477,79253,37,4.6,Illinois,443,Low,,,8112.882267090696,-586.21212235452
13,358,3566,379,70190,29,3.0,Indiana,236,Low,,,-958.1409125052963,-361.2240214475012
14,303,3396,308,72429,31,2.9,Iowa,287,Low,,,1284.6701807263917,-481.4711603152147
15,425,4398,467,75979,35,2.8,Kansas,360,High,,,4809.743835645509,610.3145216761977
16,259,3559,390,55629,27,3.9,Kentucky,181,Low,,,-15514.385792448602,-721.1502697828635
17,639,5769,595,57206,26,3.3,Louisiana,325,High,,,-13991.099035513702,1548.5635516032883
18,109,2312,411,71139,36,3.6,Maine,241,Low,,,21.164092085706258,-1608.5708715728397
19,400,3220,619,97332,43,4.5,Maryland,492,Low,,,26184.4629969053,-60.312871597898265
20,309,2106,440,86566,47,3.5,Massachusetts,346,Low,,,15447.72619629656,-1432.2043031717092
21,478,2722,360,64488,32,4.2,Michigan,290,Low,,,-6639.240935254234,-1327.1038479760498
22,277,4250,325,80441,39,2.1,Minnesota,423,High,,,9274.969756899649,557.503816202051
23,291,4203,488,46637,25,3.8,Mississippi,266,High,,,-24518.75026160157,-289.83535064371017
24,543,5062,460,63594,32,2.6,Missouri,344,High,,,-7587.811748150095,988.3175496503808
25,470,4242,435,64999,35,3.0,Montana,345,High,,,-6163.681728732017,198.73852810052273
26,334,3818,412,78109,34,2.4,Nebraska,298,Low,,,6952.975833084694,75.4586024058485
27,460,3853,410,64340,28,4.6,Nevada,474,High,,,-6812.9396611852635,-204.56229781991107
28,146,2198,420,88841,40,2.4,New Hampshire,357,Low,,,17720.8276080408,-1299.7217405142933
29,195,2316,532,88559,43,3.5,New Jersey,429,Low,,,17436.05727552563,-1185.1273105534078
30,778,5684,507,53463,30,4.3,New Mexico,361,High,,,-17731.595064477617,1387.15033241701
31,364,2821,630,72920,40,4.4,New York,549,Low,,,1789.2559634238953,-1038.3934953220985
32,419,4453,438,62891,35,3.8,North Carolina,346,High,,,-8275.717267844184,354.9494418509675
33,329,4248,393,68882,32,2.3,North Dakota,330,High,,,-2281.227237759417,285.36694406505984
34,309,3701,395,62689,31,4.2,Ohio,344,Low,,,-8459.509573939655,-407.81678349809056
35,459,5411,410,60096,28,3.4,Oklahoma,288,High,,,-11092.635965711059,1246.4927379353744
36,292,5318,284,81855,36,4.1,Oregon,375,High,,,10663.431079592378,1656.3604035305802
37,390,3288,463,72627,35,4.0,Pennsylvania,330,Low,,,1484.7132695427945,-577.9868844848562
38,231,2491,412,74982,37,3.4,Rhode Island,468,Low,,,3858.936000702662,-1328.3760712401388
39,531,5442,421,62542,32,3.3,South Carolina,277,High,,,-8648.495578896596,1340.992361584239
40,501,3913,449,73893,32,2.4,South Dakota,258,High,,,2734.9507123369785,83.47584111748215
41,673,4986,439,62166,31,3.5,Tennessee,331,High,,,-9014.342510567098,889.3672484354541
42,446,4490,479,67404,33,4.0,Texas,321,High,,,-3765.145024032562,500.49129697795496
43,261,4929,299,87649,37,2.1,Utah,283,High,,,16464.68245833469,1402.892138585804
44,173,2434,322,76079,44,2.3,Vermont,341,Low,,,4956.90976229977,-1363.9958160615924
45,209,2913,597,80268,42,2.7,Virginia,313,Low,,,9133.06500902483,-786.2298489832453
46,294,5465,320,87648,39,3.8,Washington,330,High,,,16451.13818554798,1939.714028110576
47,356,2799,516,46836,24,4.0,West Virginia,254,Low,,,-24287.451700794933,-1679.0302684602389
48,323,2971,404,69943,33,3.3,Wisconsin,326,Low,,,-1190.7291160563736,-962.5036120939969
49,234,3221,501,71052,29,3.5,Wyoming,401,Low,,,-87.23483605599299,-694.531613694904
